"","Gene","coef.FL","se.FL","Pval.FL","Cancer_type","Coef.fixed","SE.fixed","CI_lower.fixed","CI_upper.fixed","Pval.fixed","Coef","SE","CI_lower","CI_upper","Pval","I2","Q_Pval","FDR","FDR.fixed","FDR.FL"
"146","CALM2",0.0315356045268316,0.115868175143433,0.785492878626051,"Melanoma",-0.0102976314208771,0.127364898607716,-0.259928245586596,0.239332982744842,0.93556012394165,-0.0102976314208771,0.127364898607716,-0.259928245586596,0.239332982744842,0.93556012394165,0,0.564364021196313,0.97579926905742,0.965418425769575,0.861942511146458
"147","C9orf72",-0.13472486119338,0.122954063800281,0.273195508510107,"Melanoma",-0.179954297985163,0.166968424690447,-0.507206396933827,0.147297800963501,0.281134435314503,-0.179954297985163,0.166968424690447,-0.507206396933827,0.147297800963501,0.281134435314503,0,0.780269415496265,0.571192279887674,0.525596149624294,0.416970381249983
"148","RILPL2",-0.250803697786185,0.125439619083381,0.0455653303405966,"Melanoma",-0.257331917262564,0.183672698130789,-0.617323790542208,0.10265995601708,0.16120354420778,-0.252566403748106,0.216506629638982,-0.676911600254663,0.17177879275845,0.243391035081583,0.239961421150047,0.25391192607303,0.529530645862191,0.372303423527491,0.101442103380492
"149","ZFP36L2",-0.173920173352724,0.119148251619413,0.144373763905778,"Melanoma",-0.17051044973233,0.12944696901319,-0.424221846906054,0.083200947441395,0.187764081027113,-0.17051044973233,0.12944696901319,-0.424221846906054,0.083200947441395,0.187764081027113,0,0.879420817096145,0.433080665285479,0.387513103396382,0.284338477588088
"150","BANK1",-0.323197005098827,0.12264994921389,0.0084108207357786,"Melanoma",-0.448529103902877,0.18836029357422,-0.817708495425739,-0.0793497123800146,0.0172549541327735,-0.459678074600176,0.228850428914295,-0.908216673118737,-0.0111394760816146,0.0445753496512509,0.245154356538222,0.250149426943601,0.240211606453963,0.116900501116685,0.0326625055855586
"151","RANBP2",-0.142342815975824,0.118193905119879,0.228467448700342,"Melanoma",-0.118541319188082,0.132893012625068,-0.379006837730241,0.141924199354077,0.372389899649258,-0.118541837811829,0.132894431732717,-0.379010137753872,0.141926462130213,0.3723929134133,0,0.534812356946741,0.646757486493288,0.622790004585828,0.386317685984216
"152","NR4A2",-0.0775144918955753,0.118340118136245,0.512458426112985,"Melanoma",-0.0319291528631777,0.16738330594491,-0.359994404128451,0.296136098402096,0.848717778465472,-0.0319291528631777,0.16738330594491,-0.359994404128451,0.296136098402096,0.848717778465472,0,0.600620097245366,0.935518460353987,0.928812188900102,0.644035589574427
"153","CHD1",0.0303616165231427,0.115600634655785,0.792826293882877,"Melanoma",0.0646560604231153,0.148118703196256,-0.225651263278323,0.354963384124554,0.662462997588488,0.0646560604231153,0.148118703196256,-0.225651263278323,0.354963384124554,0.662462997588488,0,0.622716904861632,0.868363659001126,0.845511983764255,0.861942511146458
"154","MS4A1",-0.455785672631027,0.129442595613423,0.000429693539929875,"Melanoma",-0.730387878126673,0.259234974507284,-1.23847909169411,-0.222296664559237,0.0048402988336822,-0.730387878126673,0.259234974507284,-1.23847909169411,-0.222296664559237,0.0048402988336822,0,0.561367863922449,0.109642932443382,0.0670727124095964,0.00439572713541864
"155","REL",-0.227597244229665,0.124646936518215,0.0678600047841349,"Melanoma",-0.320855487408973,0.158852170522979,-0.632200020500027,-0.0095109543179184,0.0434003005516168,-0.320855487408973,0.158852170522979,-0.632200020500027,-0.0095109543179184,0.0434003005516168,0,0.649763509498348,0.240211606453963,0.156874592464151,0.146766987091268
"156","DNAJB14",-0.0143380320353992,0.116322762225401,0.901900613092112,"Melanoma",-0.0697155060578527,0.144728601634606,-0.353378352794525,0.213947340678819,0.630020359063913,-0.0697155060578527,0.144728601634606,-0.353378352794525,0.213947340678819,0.630020359063913,0,0.829963649475039,0.839154682155654,0.814826331055994,0.921722604588642
"157","TRA2A",-0.0177379410487673,0.116521718501671,0.879006617180616,"Melanoma",0.0619594844288396,0.15478421402366,-0.241412000432874,0.365330969290553,0.688938596115713,0.0580614258346405,0.164379673042196,-0.264116813118534,0.380239664787815,0.723926991466864,0,0.423501018632084,0.877371658172152,0.867883686015898,0.921722604588642
"158","TAGAP",-0.530974877807351,0.14162227762606,0.000177376425499571,"Melanoma",-0.589157279528906,0.199453817307862,-0.980079578031347,-0.198234981026465,0.0031383334015577,-0.604494440487965,0.218439348728005,-1.03262769680124,-0.17636118417469,0.0056516975486279,0.0677553058619225,0.373157252695684,0.109642932443382,0.0670727124095964,0.00372939431920206
"159","TUBA1A",-0.00529159759104818,0.116047316583506,0.96363016842254,"Melanoma",0.0302048517289795,0.127828240789822,-0.220333896426186,0.280743599884145,0.813205723664601,0.0302048517289795,0.127828240789822,-0.220333896426186,0.280743599884145,0.813205723664601,0,0.556083698152223,0.934385723010493,0.928011237593721,0.974104409383655
"160","TUBA1C",-0.079697950041511,0.116592618795798,0.494253594634404,"Melanoma",-0.0382146269009785,0.128472452569044,-0.290016006941835,0.213586753139878,0.766120029112844,-0.0382151087189664,0.12847601977259,-0.290023480350299,0.213593262912366,0.766123470862271,0,0.734329680862772,0.895349116549883,0.895345094264409,0.638410893069439
"161","NFKBID",-0.303322818276693,0.133241257799586,0.0228165067188282,"Melanoma",-0.206470728789137,0.193992143403012,-0.586688343142771,0.173746885564496,0.287181401341109,-0.206826237104627,0.277753639785612,-0.751213367659338,0.337560893450085,0.45648988764503,0.488775891368614,0.0817006589206486,0.736654669634541,0.525596149624294,0.0634280375456722
"162","GPR183",-0.205087792105248,0.124594268408062,0.0997544623176583,"Melanoma",-0.329154363706738,0.173022498357657,-0.668272229002886,0.0099635015894105,0.0571216271955491,-0.329154363706738,0.173022498357657,-0.668272229002886,0.0099635015894105,0.0571216271955491,0,0.868409231536188,0.277039891898413,0.194307178531176,0.210844658989596
"163","CMKLR1",-0.293310320448046,0.129193918049469,0.0231887449091705,"Melanoma",-0.346113659667578,0.18747573997341,-0.713559357990458,0.0213320386553022,0.0648663077215919,-0.343299788290875,0.233503934904621,-0.800959090952318,0.114359514370567,0.141504924100982,0.306439108564259,0.2055428960426,0.381277156605424,0.202338555071175,0.0634280375456722
"164","TGIF1",0.102856029762159,0.115911953317805,0.374883259702532,"Melanoma",0.314748948501786,0.149873486319369,0.0210023130783661,0.608495583925206,0.035720256654646,0.314748948501786,0.149873486319369,0.0210023130783661,0.608495583925206,0.035720256654646,0,0.828581848763338,0.240211606453963,0.144369370645861,0.512707987534345
